id,name,type,original_name,name_match
600808,Drake,Person,Drake,1.0
706819,Ed Sheeran,Person,Ed Sheeran,1.0
823336,Ariana Grande,Person,Ariana Grande,1.0
1492430,Bad Bunny,Person,Bad Bunny,1.0
796889,The Weeknd,Person,The Weeknd,1.0
1258907,Post Malone,Person,Post Malone,1.0
634509,Justin Bieber,Person,Justin Bieber,1.0
946,Eminem,Person,Eminem,1.0
399541,Taylor Swift,Person,Taylor Swift,1.0
803820,J Balvin,Person,J Balvin,1.0
1025840,BTS,Group,BTS,1.0
127482,Kanye West,Person,Kanye West,1.0
1361541,Billie Eilish,Person,Billie Eilish,1.0
1048120,Ozuna,Person,Ozuna,1.0
1445809,Khalid,Person,Khalid,1.0
1379442,XXXTENTACION,Person,XXXTENTACION,1.0
1633635,Juice WRLD,Person,Juice WRLD,1.0
2129,Coldplay,Group,Coldplay,1.0
262731,Rihanna,Person,Rihanna,1.0
894303,Travis Scott,Person,Travis Scott,1.0
870909,Imagine Dragons,Group,Imagine Dragons,1.0
66179,Maroon 5,Group,Maroon 5,1.0
1290968,Dua Lipa,Person,Dua Lipa,1.0
1137257,Shawn Mendes,Person,Shawn Mendes,1.0
204321,Calvin Harris,Person,Calvin Harris,1.0
30471,David Guetta,Person,David Guetta,1.0
119241,Daddy Yankee,Person,Daddy Yankee,1.0
529750,Sam Smith,Person,Sam Smith,1.0
641206,Bruno Mars,Person,Bruno Mars,1.0
1096838,The Chainsmokers,Group,The Chainsmokers,1.0
192,Queen,Group,Queen,1.0
762201,Kendrick Lamar,Person,Kendrick Lamar,1.0
422058,Beyoncé,Person,Beyoncé,1.0
240486,Chris Brown,Person,Chris Brown,1.0
800841,Future,Person,Future,1.0
754656,One Direction,Group,One Direction,1.0
100154,Sia,Person,Sia,1.0
624088,Nicki Minaj,Person,Nicki Minaj,1.0
531923,Lady Gaga,Person,Lady Gaga,1.0
1197096,Halsey,Person,Halsey,1.0
527517,Selena Gomez,Person,Selena Gomez,1.0
650607,J. Cole,Person,J. Cole,1.0
1486832,Anuel AA,Person,Anuel AA,1.0
303,The Beatles,Group,The Beatles,1.0
839065,twenty one pilots,Group,Twenty One Pilots,0.8235294117647058
1053251,Maluma,Person,Maluma,1.0
1084840,Kygo,Person,Kygo,1.0
807928,Marshmello,Person,Marshmello,1.0
610590,Avicii,Person,Avicii,1.0
11330,Linkin Park,Group,Linkin Park,1.0
1241266,Lil Uzi Vert,Person,Lil Uzi Vert,1.0
315753,Katy Perry,Person,Katy Perry,1.0
939035,Camila Cabello,Person,Camila Cabello,1.0
497084,Adele,Person,Adele,1.0
828613,Lana Del Rey,Person,Lana Del Rey,1.0
641496,Jason Derulo,Person,Jason Derulo,1.0
813933,Farruko,Person,Farruko,1.0
527516,Demi Lovato,Person,Demi Lovato,1.0
12389,Red Hot Chili Peppers,Group,Red Hot Chili Peppers,1.0
148108,Nicky Jam,Person,Nicky Jam,1.0
1332,Shakira,Person,Shakira,1.0
255826,Arctic Monkeys,Group,Arctic Monkeys,1.0
997729,Martin Garrix,Person,Martin Garrix,1.0
867864,G‐Eazy,Person,G-Eazy,0.8333333333333334
623730,Major Lazer,Group,Major Lazer,1.0
243617,Panic! at the Disco,Group,Panic! At The Disco,0.8947368421052632
359330,Miley Cyrus,Person,Miley Cyrus,1.0
410667,OneRepublic,Group,OneRepublic,1.0
519,Michael Jackson,Person,Michael Jackson,1.0
137803,Pitbull,Person,Pitbull,1.0
656090,Ellie Goulding,Person,Ellie Goulding,1.0
1342385,Cardi B,Person,Cardi B,1.0
1080570,Charlie Puth,Person,Charlie Puth,1.0
754692,Harry Styles,Person,Harry Styles,1.0
1290934,Sebastián Yatra,Person,Sebastian Yatra,0.9333333333333332
463597,Wiz Khalifa,Person,Wiz Khalifa,1.0
1738027,Rauw Alejandro,Person,Rauw Alejandro,1.0
57186,Lil Wayne,Person,Lil Wayne,1.0
1493482,KAROL G,Person,KAROL G,1.0
1513023,DaBaby,Person,DaBaby,1.0
942935,Logic,Person,Logic,1.0
112461,Fall Out Boy,Group,Fall Out Boy,1.0
1026090,Migos,Group,Migos,1.0
998368,Young Thug,Person,Young Thug,1.0
153653,Diplo,Person,Diplo,1.0
531656,Tyga,Person,Tyga,1.0
